Date,Open,High,Low,Close,Volume
2023-01-02,18131.69921875,18215.150390625,18086.5,18197.44921875,256100
2023-01-03,18163.19921875,18251.94921875,18149.80078125,18232.55078125,208700
2023-01-04,18230.650390625,18243.0,18020.599609375,18042.94921875,235200
2023-01-05,18101.94921875,18120.30078125,17892.599609375,17992.150390625,269900
2023-01-06,18008.05078125,18047.400390625,17795.55078125,17859.44921875,238200
2023-01-09,17952.55078125,18141.400390625,17936.150390625,18101.19921875,257200
2023-01-10,18121.30078125,18127.599609375,17856.0,17914.150390625,283300
2023-01-11,17924.25,17976.349609375,17824.349609375,17895.69921875,259900
2023-01-12,17920.849609375,17945.80078125,17761.650390625,17858.19921875,227800
2023-01-13,17867.5,17999.349609375,17774.25,17956.599609375,256700
2023-01-16,18033.150390625,18049.650390625,17853.650390625,17894.849609375,206200
2023-01-17,17922.80078125,18072.05078125,17886.94921875,18053.30078125,219100
2023-01-18,18074.30078125,18183.75,18032.44921875,18165.349609375,255800
2023-01-19,18119.80078125,18155.19921875,18063.75,18107.849609375,237800
2023-01-20,18115.599609375,18145.44921875,18016.19921875,18027.650390625,237200
2023-01-23,18118.44921875,18162.599609375,18063.44921875,18118.55078125,202500
2023-01-24,18183.94921875,18201.25,18078.650390625,18118.30078125,216900
2023-01-25,18093.349609375,18100.599609375,17846.150390625,17891.94921875,257200
2023-01-27,17877.19921875,17884.75,17493.55078125,17604.349609375,476300
2023-01-30,17541.94921875,17709.150390625,17405.55078125,17648.94921875,432400
2023-01-31,17731.44921875,17735.69921875,17537.55078125,17662.150390625,398300
2023-02-01,17811.599609375,17972.19921875,17353.400390625,17616.30078125,512900
2023-02-02,17517.099609375,17653.900390625,17445.94921875,17610.400390625,490100
2023-02-03,17721.75,17870.30078125,17584.19921875,17854.05078125,424100
2023-02-06,17818.55078125,17823.69921875,17698.349609375,17764.599609375,282500
2023-02-07,17790.099609375,17811.150390625,17652.55078125,17721.5,354400
2023-02-08,17750.30078125,17898.69921875,17744.150390625,17871.69921875,291000
2023-02-09,17885.5,17916.900390625,17779.80078125,17893.44921875,260900
2023-02-10,17847.55078125,17876.94921875,17801.0,17856.5,232000
2023-02-13,17859.099609375,17880.69921875,17719.75,17770.900390625,231300
2023-02-14,17840.349609375,17954.55078125,17800.05078125,17929.849609375,244500
2023-02-15,17896.599609375,18034.099609375,17853.80078125,18015.849609375,229300
2023-02-16,18094.75,18134.75,18000.650390625,18035.849609375,230200
2023-02-17,17974.849609375,18034.25,17884.599609375,17944.19921875,208100
2023-02-20,17965.55078125,18004.349609375,17818.400390625,17844.599609375,174600
2023-02-21,17905.80078125,17924.900390625,17800.30078125,17826.69921875,198200
2023-02-22,17755.349609375,17772.5,17529.44921875,17554.30078125,204000
2023-02-23,17574.650390625,17620.05078125,17455.400390625,17511.25,240800
2023-02-24,17591.349609375,17599.75,17421.80078125,17465.80078125,209400
2023-02-27,17428.599609375,17451.599609375,17299.0,17392.69921875,246400
2023-02-28,17383.25,17440.44921875,17255.19921875,17303.94921875,420900
2023-03-01,17360.099609375,17467.75,17345.25,17450.900390625,272900
2023-03-02,17421.5,17445.80078125,17306.0,17321.900390625,310700
2023-03-03,17451.25,17644.75,17427.69921875,17594.349609375,356200
2023-03-06,17680.349609375,17799.94921875,17671.94921875,17711.44921875,362800
2023-03-08,17665.75,17766.5,17602.25,17754.400390625,267000
2023-03-09,17772.05078125,17772.349609375,17573.599609375,17589.599609375,262400
2023-03-10,17443.80078125,17451.5,17324.349609375,17412.900390625,235900
2023-03-13,17421.900390625,17529.900390625,17113.44921875,17154.30078125,254900
2023-03-14,17160.55078125,17224.650390625,16987.099609375,17043.30078125,290600
2023-03-15,17166.44921875,17211.349609375,16938.900390625,16972.150390625,248200
2023-03-16,16994.650390625,17062.44921875,16850.150390625,16985.599609375,349800
2023-03-17,17111.80078125,17145.80078125,16958.150390625,17100.05078125,408100
2023-03-20,17066.599609375,17066.599609375,16828.349609375,16988.400390625,241800
